id,Question,Answer
1,What is the main purpose of this paper?,The main purpose of this paper is to present an integrated value model for a sustainability assessment of residential solar energy systems (RESSs) dedicated to energy generation and aimed at reducing air pollution in urban areas.
2,What are the key words associated with this paper?,"The key words associated with this paper are Renewable energy, Solar system, Residential buildings, Urban air pollution, and Sustainability assessment."
3,What is MIVES?,MIVES stands for the integrated value model for sustainability assessment.
4,What is the advantage of PV/T over PV?,PV/T is a better solution when stakeholders are more sensitive to environmental requirements and air pollution decrement potential.
7,What are the measures necessary to reduce energy needs?,Reducing energy needs with measures such as less consuming devices and machinery as well as more responsible consumption habits are necessary.
8,What is considered one of the driving capabilities to accelerate the transition from centralized to decentralized energy systems?,The significant growth of integrated renewable energy sources distributed within the built environment is considered one of the driving capabilities to accelerate the transition.
9,What are the advantages of decentralized and local energy production?,"The advantages of decentralized and local energy production include decreased costs of energy distribution, reduced energy losses during transitions which leads to lesser environmental impacts, and reusing unused urban potentials."
10,What is the difference between rooftop applications and large-scale solar farms?,"Rooftop applications do not require land acquisition while solar farms require land acquisition. Furthermore, discarding a vast area of unused rooftops for solar applications while using extensive solar farm projects means decreasing the potential for agriculture, as well as losing the potential for buildings’ self-sufficiency."
11,What is the average yearly growth of renewable energy consumption?,The average yearly growth of renewable energy consumption is 2.3% per year between 2015 and 2040.
12,What are two matured technologies used to harvest solar radiation?,Two matured technologies used to harvest solar radiation are converting it to electrical and thermal energy.
13,What are the two effects of using a hybrid photovoltaic thermal (PV/T) system to generate thermal and electrical energy simultaneously?,"The two effects of using a PV/T system are harvesting more of the incident solar radiation by thermal energy generation, as well as cooling PV panels by extracting waste heat during photovoltaic operation."
14,What is the percentage of global CO2 emissions that is contributed by heat energy end-use?,Heat energy end-use contributes to 40% of global CO2 emissions.
15,What is the main innovation of this research paper?,"The main innovation of this research paper is providing a novel model and systematic approach that proceeds beyond the previous works, which intends to assist decision-makers such as municipalities, contractors, and experts in adopting the most suitable and sustainable residential solar system alternatives to minimize cities’ air pollution."
16,What approach is needed to structure the problem solution?,It is necessary to consider possible decision criteria and select the most significant criteria concerning the decision objective in order to structure the problem solution as a hierarchy.
17,What combination is used to make decisions more rationally and make them more transparent and better understandable?,The Analytic Hierarchy Process (AHP) and MIVES are combined to make decisions more rationally and make them more transparent and better understandable.
18,What does the present article develop and apply?,"The present article develops and applies a new model in Tehran, an example of a megacity with potential for incorporating solar collector systems."
19,What did the study find regarding Tehran city and air pollution?,The study found that Tehran city ranked 14th among high carbon footprint cities and 12th amongst PM10 pollutants megacities worldwide.
20,What are the three levels of the framework for this study?,"The framework for this study is organized into three levels consisting of the initial analysis, specific analysis, and sustainability analysis."
21,What are the main search words used to find the hundreds of studies analyzed?,The main search words used to find the hundreds of studies analyzed were
22,What databases were consulted to find the hundreds of studies analyzed?,"Web of Science, Scopus, and Google Scholar were the databases consulted."
23,What are the three major phases of the systematic approach?,"The three major phases of the systematic approach are  identification, screening, and including."
24,What are the expected findings from the identification phase?,"The expected findings from the identification phase are the state of the art, identification of available alternatives, recognition of the type and characteristics each alternative has, and definition of boundaries."
25,What does the sustainability assessment model consist of?,"The sustainability assessment model is composed of MIVES, SWOT, AHP, simplified LCA, and sensitivity analysis."
26,What does the SWOT method focus on?,"The SWOT method focuses on both internal and external factors, such as strengths, weaknesses, opportunities, and threats."
27,What is the MIVES methodology?,MIVES is a multi-attribute utility theory from the 21st century based on the multi-attribute utility theory.
28,What is the key advantage of using MIVES?,"The key advantage of MIVES is its ability to add up different indicators' resulting values, which also allow for integration of uncertain analysis into evaluation."
29,What contexts has MIVES been previously applied successfully to define and apply comprehensive sustainability assessment tools?,"MIVES has been applied to define and apply comprehensive sustainability assessment tools in a variety of case studies containing architecture and building construction contexts (Pons et al., 2016; Pons et al., 2019)."
30,How has the MIVES model been validated in the current study?,The MIVES model has been validated in the current study by relying on the MIVES applications which have been satisfactorily carried out previously and by applying the developed model as an eligible tool for the first time to the specific case.
